Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Vision Transformer,0.7372,0.739853505810568,0.7372,0.7338731926606177,760.6058120727539
Hybrid CNN-MLP,0.5198,0.523364356700583,0.5198,0.5135198401859055,327.4449782371521
ResNet,0.4476,0.45208286191259084,0.4476,0.4446813120684321,237.61009049415588
